transaction_id,transaction_timestamp,transaction_amount,transaction_currency,transaction_type,merchant_id,merchant_name,merchant_country,merchant_MCC,card_BIN,card_brand,card_type,card_level,issuer_country,issuer_id,terminal_id,terminal_country,POS_entry_mode,card_present_flag,authentication_method,cross_border_flag,currency_conversion_flag,interchange_program_indicator,fee_code,eligibility_flag
TX00001,8/21/2025 3:01,33.05,GBP,purchase,M0005,Lidl,DE,5411,4109600,Visa,debit,Classic,IT,ISS242,T23434,DE,chip,TRUE,PIN,TRUE,TRUE,CROSS-BORDER EEA,IF-HIGH,TRUE
TX00002,6/12/2025 6:14,22.58,GBP,purchase,M0010,Kaufland,RO,5411,4203794,Visa,credit,Gold,HU,ISS303,T95181,RO,chip,TRUE,none,TRUE,FALSE,CROSS-BORDER EEA,IF-HIGH,TRUE
TX00003,6/1/2025 5:44,18.51,USD,purchase,M0006,Tesco,UK,5411,5101615,Mastercard,debit,Classic,FR,ISS320,T54118,UK,contactless,TRUE,PIN,TRUE,FALSE,CONTACTLESS SMALL TICKET,IF-HIGH,TRUE
TX00004,7/15/2025 19:16,33.97,EUR,purchase,M0008,Decathlon,FR,5941,4209593,Visa,credit,Classic,UK,ISS180,T82357,FR,chip,TRUE,none,TRUE,FALSE,CROSS-BORDER EEA,IF-HIGH,TRUE
TX00005,8/30/2025 2:02,59.11,GBP,purchase,M0004,eMAG,RO,5942,5106475,Mastercard,debit,Gold,DE,ISS975,T40512,RO,chip,TRUE,PIN,TRUE,FALSE,CROSS-BORDER EEA,IF-HIGH,TRUE
TX00006,6/21/2025 11:22,21.42,EUR,purchase,M0005,Lidl,DE,5411,4103276,Visa,debit,Corporate,BG,ISS750,T32431,DE,ecommerce,FALSE,none,TRUE,FALSE,E-COMMERCE LOW-VALUE,IF-HIGH,TRUE
TX00007,7/5/2025 20:44,17.11,GBP,purchase,M0004,eMAG,RO,5942,5106413,Mastercard,debit,Classic,RO,ISS334,T14207,RO,contactless,TRUE,none,FALSE,TRUE,CONTACTLESS SMALL TICKET,IF-LOW,TRUE
TX00008,8/12/2025 22:20,20.59,EUR,refund,M0008,Decathlon,FR,5941,5103884,Mastercard,debit,Gold,AT,ISS246,T44718,FR,chip,TRUE,PIN,TRUE,FALSE,CROSS-BORDER EEA,IF-HIGH,TRUE
TX00009,8/14/2025 13:57,11.06,GBP,refund,M0007,Zara,ES,5651,5201012,Mastercard,credit,Corporate,IT,ISS241,T76784,ES,ecommerce,FALSE,CVV,TRUE,FALSE,E-COMMERCE LOW-VALUE,IF-HIGH,TRUE
TX00010,8/20/2025 5:50,27.61,GBP,refund,M0007,Zara,ES,5651,4108480,Visa,debit,Classic,UK,ISS490,T88104,ES,chip,TRUE,none,TRUE,FALSE,CROSS-BORDER EEA,IF-HIGH,TRUE
TX00011,8/27/2025 23:07,10.1,GBP,purchase,M0009,Uber,NL,4121,5102704,Mastercard,debit,Classic,NL,ISS214,T48469,NL,contactless,TRUE,none,FALSE,TRUE,CONTACTLESS SMALL TICKET,IF-LOW,TRUE
TX00012,8/4/2025 5:32,15.93,EUR,purchase,M0005,Lidl,DE,5411,4108095,Visa,debit,Corporate,FR,ISS482,T31174,DE,ecommerce,FALSE,none,TRUE,TRUE,E-COMMERCE LOW-VALUE,IF-HIGH,TRUE
TX00013,8/2/2025 0:07,45.54,USD,purchase,M0005,Lidl,DE,5411,4101718,Visa,debit,Classic,RO,ISS346,T84364,DE,chip,TRUE,PIN,TRUE,FALSE,CROSS-BORDER EEA,IF-HIGH,TRUE
TX00014,6/17/2025 4:42,42.9,USD,purchase,M0009,Uber,NL,4121,4103834,Visa,debit,Classic,ES,ISS640,T89507,NL,chip,TRUE,none,TRUE,FALSE,CROSS-BORDER EEA,IF-HIGH,TRUE
TX00015,7/22/2025 21:41,39.95,USD,purchase,M0008,Decathlon,FR,5941,5105098,Mastercard,debit,Classic,DE,ISS353,T39451,FR,magstripe,TRUE,PIN,TRUE,FALSE,CROSS-BORDER EEA,IF-HIGH,TRUE
TX00016,6/30/2025 18:14,55.35,EUR,purchase,M0002,Mega Image,RO,5411,4201834,Visa,credit,Classic,IT,ISS169,T14117,RO,contactless,TRUE,none,TRUE,FALSE,CROSS-BORDER EEA,IF-HIGH,TRUE
TX00017,8/25/2025 15:13,25.85,GBP,purchase,M0003,OMV,RO,5541,5103116,Mastercard,debit,Corporate,IT,ISS903,T71993,RO,chip,TRUE,none,TRUE,FALSE,CROSS-BORDER EEA,IF-HIGH,TRUE
TX00018,7/16/2025 13:26,20.5,USD,purchase,M0001,Carrefour,RO,5411,4103338,Visa,debit,Classic,RO,ISS512,T54473,RO,chip,TRUE,PIN,FALSE,TRUE,DOMESTIC,IF-LOW,TRUE
TX00019,7/28/2025 4:27,42.49,EUR,purchase,M0005,Lidl,DE,5411,5108108,Mastercard,debit,Platinum,IT,ISS995,T19880,DE,contactless,TRUE,none,TRUE,FALSE,CONTACTLESS SMALL TICKET,IF-HIGH,TRUE
TX00020,6/2/2025 2:59,29.88,EUR,purchase,M0003,OMV,RO,5541,5100260,Mastercard,debit,Classic,AT,ISS592,T38016,RO,chip,TRUE,none,TRUE,FALSE,CROSS-BORDER EEA,IF-HIGH,TRUE
TX00021,7/20/2025 8:59,29.3,USD,purchase,M0005,Lidl,DE,5411,5103430,Mastercard,debit,Classic,HU,ISS777,T73788,DE,chip,TRUE,PIN,TRUE,TRUE,CROSS-BORDER EEA,IF-HIGH,TRUE
